sum_id,pert_id,pert_iname,perts_target,pert_type,pert_itime,pert_idose,mean_rankpt_2,mean_rankpt_4,mean_rankpt_6,is_expressed_4,is_expressed_6,rankpt_1,rankpt_2,rankpt_3,rankpt_4,rankpt_5,rankpt_6,rankpt_7,rankpt_8,rankpt_9,npos,nneg,ncell,nsig,norm_rankpt,norm_cs,cell_id,best4_index,best6_index,sig_id
BRD-K70792160,BRD-K70792160,10-DEBC,"IGF1R stimulation of AKT, ????",trt_cp,24 h|6 h,20 εM,99.3525,96.791,78.0064,-666,-666,100,98.7051,94.3199,94.1392,80.8745,0,0,0,-52.4344,5,1,9,16,0|98.7|0|80.9|94.1|94.3|0|100|-52.4,0|1.47|0|1.01|1.21|1.26|0|1.79|-0.83,A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP,8|2|6|5,8|2|6|5|4|1,CPC006_A375_24H:BRD-K70792160-003-02-0:24|CPC006_A375_6H:BRD-K70792160-003-02-0:24|CPC006_A549_24H:BRD-K70792160-003-02-0:24|CPC006_HA1E_24H:BRD-K70792160-003-02-0:24|CPC006_HA1E_6H:BRD-K70792160-003-02-0:24|CPC006_HCC515_6H:BRD-K70792160-003-02-0:24|CPC006_HEPG2_6H:BRD-K70792160-003-02-0:24|CPC006_HT29_24H:BRD-K70792160-003-02-0:24|CPC006_HT29_6H:BRD-K70792160-003-02-0:24|CPC006_MCF7_24H:BRD-K70792160-003-02-0:24|CPC006_PC3_24H:BRD-K70792160-003-02-0:24|CPC006_PC3_6H:BRD-K70792160-003-02-0:24|CPC006_VCAP_24H:BRD-K70792160-003-02-0:24|CPC006_VCAP_6H:BRD-K70792160-003-02-0:24|CPC006_A549_6H:BRD-K70792160-003-02-0:24|CPC006_MCF7_6H:BRD-K70792160-003-02-0:24
BRD-K34581968,BRD-K34581968,BMS-536924,IR|IGF1R,trt_cp,24 h|6 h,1 nM|1 εM|10 nM|10 εM|100 nM|3 εM|500 nM,99.2103,98.0242,96.0807,-666,-666,99.5734,98.8471,97.8326,95.8438,93.9114,90.4762,75.0349,-66.9733,-88.7704,7,2,9,38,98.8|95.8|93.9|99.6|90.5|97.8|75|-88.8|-67,1.44|1.34|1.21|1.57|1.13|1.37|0.83|-1.17|-0.98,A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP,4|1|6|2,4|1|6|2|3|5,CPC006_A375_24H:BRD-K34581968-001-01-2:11.1|CPC006_A375_6H:BRD-K34581968-001-01-2:11.1|CPC006_A549_24H:BRD-K34581968-001-01-2:11.1|CPC006_A549_6H:BRD-K34581968-001-01-2:11.1|CPC006_HA1E_24H:BRD-K34581968-001-01-2:11.1|CPC006_HCC515_24H:BRD-K34581968-001-01-2:11.1|CPC006_HCC515_6H:BRD-K34581968-001-01-2:11.1|CPC006_HEPG2_6H:BRD-K34581968-001-01-2:11.1|CPC006_HT29_24H:BRD-K34581968-001-01-2:11.1|CPC006_HT29_6H:BRD-K34581968-001-01-2:11.1|CPC006_MCF7_24H:BRD-K34581968-001-01-2:11.1|CPC006_MCF7_6H:BRD-K34581968-001-01-2:11.1|CPC006_PC3_24H:BRD-K34581968-001-01-2:11.1|CPC006_PC3_6H:BRD-K34581968-001-01-2:11.1|CPC006_VCAP_6H:BRD-K34581968-001-01-2:11.1|HOG002_MCF7_6H:BRD-K34581968-001-01-2:0.0152|HOG002_MCF7_6H:BRD-K34581968-001-01-2:0.13704|HOG002_MCF7_6H:BRD-K34581968-001-01-2:0.4111|HOG002_MCF7_6H:BRD-K34581968-001-01-2:1.2333|HOG002_MCF7_6H:BRD-K34581968-001-01-2:3.7|HOG002_MCF7_6H:BRD-K34581968-001-01-2:11.1|HOG002_MCF7_24H:BRD-K34581968-001-01-2:0.0152|HOG002_MCF7_24H:BRD-K34581968-001-01-2:0.13704|HOG002_MCF7_24H:BRD-K34581968-001-01-2:0.4111|HOG002_MCF7_24H:BRD-K34581968-001-01-2:1.2333|HOG002_MCF7_24H:BRD-K34581968-001-01-2:3.7|HOG002_MCF7_24H:BRD-K34581968-001-01-2:11.1|HOG002_A549_6H:BRD-K34581968-001-01-2:0.0457|HOG002_A549_6H:BRD-K34581968-001-01-2:1.2333|HOG002_A549_6H:BRD-K34581968-001-01-2:3.7|HOG002_A549_6H:BRD-K34581968-001-01-2:11.1|HOG002_A549_24H:BRD-K34581968-001-01-2:0.005|HOG002_A549_24H:BRD-K34581968-001-01-2:0.4111|HOG002_A549_24H:BRD-K34581968-001-01-2:1.2333|HOG002_A549_24H:BRD-K34581968-001-01-2:3.7|HOG002_A549_24H:BRD-K34581968-001-01-2:11.1|CPC006_HA1E_6H:BRD-K34581968-001-01-2:11.1|CPC006_VCAP_24H:BRD-K34581968-001-01-2:11.1
BRD-K46419649,BRD-K46419649,U0126,MEK,trt_cp,24 h|6 h,10 εM,99.9697,99.5935,98.3934,-666,-666,100,99.9393,99.359,99.0757,96.7836,95.2029,94.6188,0,-666,7,0,8,11,95.2|99.1|99.9|96.8|99.4|94.6|100|0,1.24|1.49|1.62|1.38|1.47|1.27|1.7|0,HA1E|HCC515|A375|A549|HEPG2|HT29|MCF7|PC3,7|3|5|2,7|3|5|2|4|1,CPC002_HA1E_24H:BRD-K46419649-001-01-8:10|CPC002_HA1E_6H:BRD-K46419649-001-01-8:10|CPC002_HCC515_24H:BRD-K46419649-001-01-8:10|CPC002_HCC515_6H:BRD-K46419649-001-01-8:10|CPC018_A375_6H:BRD-K46419649-001-01-8:10|CPC018_A549_6H:BRD-K46419649-001-01-8:10|CPC018_HEPG2_6H:BRD-K46419649-001-01-8:10|CPC018_HT29_6H:BRD-K46419649-001-01-8:10|CPC018_MCF7_24H:BRD-K46419649-001-01-8:10|CPC018_MCF7_6H:BRD-K46419649-001-01-8:10|CPC002_PC3_24H:BRD-K46419649-001-01-8:10
BRD-K49865102,BRD-K49865102,PD-0325901,MEK,trt_cp,24 h|6 h,1 εM|10 εM|100 nM|500 nM,99.7868,99.053,98.4828,-666,-666,99.877,99.6966,98.5069,98.1315,97.5275,97.1571,96.4101,94.9666,83.6254,9,0,9,22,99.7|95|99.9|98.5|97.5|98.1|83.6|97.2|96.4,1.52|1.31|1.6|1.43|1.34|1.4|0.99|1.32|1.27,A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP,3|1|4|6,3|1|4|6|5|8,CPC013_A375_6H:BRD-K49865102-001-01-9:10|CPC013_A549_24H:BRD-K49865102-001-01-9:10|CPC013_A549_6H:BRD-K49865102-001-01-9:10|CPC013_HA1E_6H:BRD-K49865102-001-01-9:10|CPC013_HCC515_6H:BRD-K49865102-001-01-9:10|CPC013_HEPG2_6H:BRD-K49865102-001-01-9:10|CPC014_A375_6H:BRD-K49865102-001-02-7:10|CPC014_A549_24H:BRD-K49865102-001-02-7:10|CPC014_A549_6H:BRD-K49865102-001-02-7:10|CPC014_HA1E_6H:BRD-K49865102-001-02-7:10|CPC014_HCC515_6H:BRD-K49865102-001-02-7:10|CPC014_HEPG2_6H:BRD-K49865102-001-02-7:10|CPC014_HT29_6H:BRD-K49865102-001-02-7:10|CPC014_MCF7_24H:BRD-K49865102-001-02-7:10|LJP002_MCF7_24H:BRD-K49865102-001-04-3:0.4|LJP002_MCF7_6H:BRD-K49865102-001-04-3:10|LJP002_MCF7_6H:BRD-K49865102-001-04-3:2|LJP002_MCF7_6H:BRD-K49865102-001-04-3:0.4|LJP002_MCF7_6H:BRD-K49865102-001-04-3:0.08|CPC013_HT29_6H:BRD-K49865102-001-01-9:10|CPC013_PC3_6H:BRD-K49865102-001-01-9:10|CPC014_VCAP_24H:BRD-K49865102-001-02-7:10
BRD-K05104363,BRD-K05104363,PD-184352,MEK,trt_cp,24 h|6 h,1 εM|10 εM|100 nM|500 nM,98.6433,98.082,81.3197,-666,-666,99.289,97.9976,97.8801,97.1612,95.5904,0,0,-58.4923,-666,5,1,8,19,98|97.9|97.2|95.6|0|99.3|-58.5|0,1.38|1.43|1.32|1.29|0|1.52|-0.9|0,A375|A549|HEPG2|HT29|MCF7|HCC515|VCAP|PC3,6|1|2|3,6|1|2|3|4|5,CPC013_A375_6H:BRD-K05104363-001-02-7:10|CPC013_A549_24H:BRD-K05104363-001-02-7:10|CPC013_HEPG2_6H:BRD-K05104363-001-02-7:10|CPC013_HT29_6H:BRD-K05104363-001-02-7:10|CPC013_MCF7_24H:BRD-K05104363-001-02-7:10|CPC014_A375_6H:BRD-K05104363-001-04-3:10|CPC014_A549_24H:BRD-K05104363-001-04-3:10|CPC014_A549_6H:BRD-K05104363-001-04-3:10|CPC014_HCC515_6H:BRD-K05104363-001-04-3:10|CPC014_HEPG2_6H:BRD-K05104363-001-04-3:10|CPC014_HT29_6H:BRD-K05104363-001-04-3:10|CPC014_VCAP_24H:BRD-K05104363-001-04-3:10|LJP001_MCF7_24H:BRD-K05104363-001-05-0:2|LJP001_MCF7_24H:BRD-K05104363-001-05-0:0.4|LJP001_MCF7_24H:BRD-K05104363-001-05-0:0.08|LJP001_MCF7_6H:BRD-K05104363-001-05-0:2|LJP001_MCF7_6H:BRD-K05104363-001-05-0:0.4|LJP001_MCF7_6H:BRD-K05104363-001-05-0:0.08|CPC013_PC3_6H:BRD-K05104363-001-02-7:10
BRD-A50454580,BRD-A50454580,PD-0325901,MEK,trt_cp,24 h|6 h,10 εM,99.1843,97.4428,93.868,-666,-666,99.5823,98.7864,97.2325,94.1699,92.9746,80.4621,0,0,-94.1665,6,1,9,11,98.8|99.6|97.2|94.2|0|93|80.5|0|-94.2,1.44|1.59|1.32|1.25|0|1.23|0.93|0|-1.28,A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP,2|1|3|4,2|1|3|4|6|7,CPC014_A375_6H:BRD-A50454580-001-01-1:10|CPC014_A549_24H:BRD-A50454580-001-01-1:10|CPC014_A549_6H:BRD-A50454580-001-01-1:10|CPC014_HA1E_6H:BRD-A50454580-001-01-1:10|CPC014_HCC515_6H:BRD-A50454580-001-01-1:10|CPC014_HEPG2_6H:BRD-A50454580-001-01-1:10|CPC014_HT29_6H:BRD-A50454580-001-01-1:10|CPC014_MCF7_24H:BRD-A50454580-001-01-1:10|CPC014_PC3_6H:BRD-A50454580-001-01-1:10|CPC014_MCF7_6H:BRD-A50454580-001-01-1:10|CPC014_VCAP_6H:BRD-A50454580-001-01-1:10
BRD-K57080016,BRD-K57080016,selumetinib,MEK,trt_cp,24 h|6 h,1 εM|10 εM|100 nM|500 nM|80 εM,98.8543,97.4251,96.3457,-666,-666,99.5023,98.2063,96.2485,95.7435,94.4175,93.956,90.7268,65.8795,-98.2469,8,1,9,25,94.4|90.7|96.2|99.5|94|98.2|95.7|-98.2|65.9,1.23|1.19|1.27|1.52|1.2|1.4|1.25|-1.41|0.81,A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP,4|6|3|7,4|6|3|7|1|5,CPC006_A375_24H:BRD-K57080016-001-04-3:80|CPC006_A375_6H:BRD-K57080016-001-04-3:80|CPC006_A549_24H:BRD-K57080016-001-04-3:80|CPC006_A549_6H:BRD-K57080016-001-04-3:80|CPC006_HA1E_24H:BRD-K57080016-001-04-3:80|CPC006_HCC515_24H:BRD-K57080016-001-04-3:80|CPC006_HCC515_6H:BRD-K57080016-001-04-3:80|CPC006_HEPG2_6H:BRD-K57080016-001-04-3:80|CPC006_HT29_24H:BRD-K57080016-001-04-3:80|CPC006_HT29_6H:BRD-K57080016-001-04-3:80|CPC006_MCF7_24H:BRD-K57080016-001-04-3:80|CPC006_MCF7_6H:BRD-K57080016-001-04-3:80|CPC006_PC3_24H:BRD-K57080016-001-04-3:80|CPC006_PC3_6H:BRD-K57080016-001-04-3:80|CPC006_VCAP_6H:BRD-K57080016-001-04-3:80|ERG011_VCAP_24H:BRD-K57080016-001-09-2:2|ERG011_VCAP_6H:BRD-K57080016-001-09-2:0.4|LJP001_MCF7_24H:BRD-K57080016-001-08-4:10|LJP001_MCF7_24H:BRD-K57080016-001-08-4:2|LJP001_MCF7_24H:BRD-K57080016-001-08-4:0.4|LJP001_MCF7_24H:BRD-K57080016-001-08-4:0.08|LJP001_MCF7_6H:BRD-K57080016-001-08-4:0.4|CPC006_HA1E_6H:BRD-K57080016-001-04-3:80|LJP001_MCF7_6H:BRD-K57080016-001-08-4:10|LJP001_MCF7_6H:BRD-K57080016-001-08-4:2
BRD-K18787491,BRD-K18787491,U-0126,MEK,trt_cp,24 h|6 h,10 εM|3 εM,98.6617,96.1237,89.7206,-666,-666,98.9011,98.4223,97.9073,89.2641,77.4293,76.3994,0,-56.1588,-666,6,1,8,15,77.4|89.3|-56.2|0|98.9|97.9|76.4|98.4,0.92|1.14|-0.88|0|1.43|1.37|0.86|1.41,HA1E|HCC515|VCAP|A549|HEPG2|HT29|MCF7|A375,5|8|6|2,5|8|6|2|1|7,CPC002_HA1E_24H:BRD-K18787491-001-05-2:10|CPC002_HA1E_6H:BRD-K18787491-001-05-2:10|CPC002_HCC515_24H:BRD-K18787491-001-05-2:10|CPC002_HCC515_6H:BRD-K18787491-001-05-2:10|CPC002_VCAP_24H:BRD-K18787491-001-05-2:10|CPC018_A549_24H:BRD-K18787491-001-07-8:10|CPC018_HEPG2_6H:BRD-K18787491-001-07-8:10|CPC018_HT29_6H:BRD-K18787491-001-07-8:10|CPC018_MCF7_24H:BRD-K18787491-001-07-8:10|CPC018_MCF7_6H:BRD-K18787491-001-07-8:10|CVD001_HEPG2_24H:BRD-K18787491-001-05-2:13.141|CVD001_HEPG2_24H:BRD-K18787491-001-05-2:3.2852|CVD001_HEPG2_6H:BRD-K18787491-001-05-2:13.141|CPC018_A375_6H:BRD-K18787491-001-07-8:10|CVD001_HEPG2_6H:BRD-K18787491-001-05-2:3.2852
BRD-K69932463,BRD-K69932463,AZD-8055,mTOR,trt_cp,24 h|6 h,1 εM|10 εM|100 nM|500 nM,99.2493,98.6838,95.6065,-666,-666,99.9253,98.5734,98.389,97.8475,89.8079,89.0958,87.2023,82.5092,82.3422,9,0,9,24,82.3|89.8|97.8|87.2|82.5|99.9|98.6|98.4|89.1,0.99|1.17|1.35|1.12|1.01|1.62|1.37|1.4|1.11,A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP,6|7|8|3,6|7|8|3|2|9,CPC006_A375_24H:BRD-K69932463-001-03-1:10|CPC006_A375_6H:BRD-K69932463-001-03-1:10|CPC006_A549_24H:BRD-K69932463-001-03-1:10|CPC006_A549_6H:BRD-K69932463-001-03-1:10|CPC006_HA1E_24H:BRD-K69932463-001-03-1:10|CPC006_HCC515_24H:BRD-K69932463-001-03-1:10|CPC006_HCC515_6H:BRD-K69932463-001-03-1:10|CPC006_HEPG2_6H:BRD-K69932463-001-03-1:10|CPC006_HT29_24H:BRD-K69932463-001-03-1:10|CPC006_HT29_6H:BRD-K69932463-001-03-1:10|CPC006_MCF7_24H:BRD-K69932463-001-03-1:10|CPC006_MCF7_6H:BRD-K69932463-001-03-1:10|CPC006_PC3_24H:BRD-K69932463-001-03-1:10|CPC006_PC3_6H:BRD-K69932463-001-03-1:10|CPC006_VCAP_24H:BRD-K69932463-001-03-1:10|CPC006_VCAP_6H:BRD-K69932463-001-03-1:10|LJP001_MCF7_24H:BRD-K69932463-001-05-6:10|LJP001_MCF7_24H:BRD-K69932463-001-05-6:0.4|LJP001_MCF7_24H:BRD-K69932463-001-05-6:0.08|LJP001_MCF7_6H:BRD-K69932463-001-05-6:2|LJP001_MCF7_6H:BRD-K69932463-001-05-6:0.4|LJP001_MCF7_6H:BRD-K69932463-001-05-6:10|CPC006_HA1E_6H:BRD-K69932463-001-03-1:10|LJP001_MCF7_6H:BRD-K69932463-001-05-6:0.08
BRD-K94294671,BRD-K94294671,OSI-027,mTOR,trt_cp,24 h|6 h,1 εM|10 εM|500 nM,98.1362,95.8297,91.7019,-666,-666,99.6683,96.6041,93.9566,93.0895,92.0049,74.8879,74.6359,69.1729,63.0037,9,0,9,18,74.6|69.2|92|94|63|74.9|96.6|99.7|93.1,0.87|0.88|1.17|1.24|0.73|0.93|1.29|1.56|1.18,A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP,8|7|4|9,8|7|4|9|3|6,CPC014_A375_6H:BRD-K94294671-003-01-3:10|CPC014_A549_24H:BRD-K94294671-003-01-3:10|CPC014_A549_6H:BRD-K94294671-003-01-3:10|CPC014_HA1E_6H:BRD-K94294671-003-01-3:10|CPC014_HCC515_6H:BRD-K94294671-003-01-3:10|CPC014_HEPG2_6H:BRD-K94294671-003-01-3:10|CPC014_HT29_6H:BRD-K94294671-003-01-3:10|CPC014_MCF7_24H:BRD-K94294671-003-01-3:10|CPC014_MCF7_6H:BRD-K94294671-003-01-3:10|CPC014_PC3_24H:BRD-K94294671-003-01-3:10|CPC014_PC3_6H:BRD-K94294671-003-01-3:10|LJP001_MCF7_24H:BRD-K94294671-003-02-1:10|LJP001_MCF7_24H:BRD-K94294671-003-02-1:2|LJP001_MCF7_24H:BRD-K94294671-003-02-1:0.4|LJP001_MCF7_6H:BRD-K94294671-003-02-1:2|LJP001_MCF7_6H:BRD-K94294671-003-02-1:0.4|CPC014_VCAP_6H:BRD-K94294671-003-01-3:10|LJP001_MCF7_6H:BRD-K94294671-003-02-1:10
