probe	gene
226911_at	EGFLAM
1556740_at	EGFLAM-AS2
1570163_at	EGFLAM-AS4
211607_x_at	EGFR
224314_s_at	EGLN1
227147_s_at	EGLN2
222847_s_at	EGLN3
240475_at	EGOT
227404_s_at	EGR1
205249_at	EGR2
206115_at	EGR3
207768_at	EGR4
212653_s_at	EHBP1
91703_at	EHBP1L1
209037_s_at	EHD1
221870_at	EHD2
218935_at	EHD3
233660_at	EHD4
232360_at	EHF
205222_at	EHHADH
219339_s_at	EHMT1
1559311_at	EHMT1-IT1
243914_at	EHMT2
216396_s_at	EI24
208670_s_at	EID1
225936_at	EID2
242470_at	EID2B
231292_at	EID3
228967_at	EIF1
223682_s_at	EIF1AD
201018_at	EIF1AX
204409_s_at	EIF1AY
237988_at	EIF1B
1557212_at	EIF1B-AS1
223015_at	EIF2A
217736_s_at	EIF2AK1
213294_at	EIF2AK2
241463_at	EIF2AK3
225164_s_at	EIF2AK4
201632_at	EIF2B1
202461_at	EIF2B2
218488_at	EIF2B3
215482_s_at	EIF2B4
1558050_at	EIF2B5
218253_s_at	EIF2D
201144_s_at	EIF2S1
208726_s_at	EIF2S2
224935_at	EIF2S3
200596_s_at	EIF3A
242550_at	EIF3B
236700_at	EIF3C
200005_at	EIF3D
235429_at	EIF3E
200023_s_at	EIF3F
208887_at	EIF3G
230570_at	EIF3H
208756_at	EIF3I
208985_s_at	EIF3J
235124_at	EIF3J-AS1
212716_s_at	EIF3K
217719_at	EIF3L
239848_at	EIF3M
1556350_a_at	EIF4A2
201303_at	EIF4A3
211937_at	EIF4B
201435_s_at	EIF4E
226734_at	EIF4E2
225939_at	EIF4E3
221539_at	EIF4EBP1
1570454_at	EIF4EBP2
218626_at	EIF4ENIF1
208624_s_at	EIF4G1
200004_at	EIF4G2
1554309_at	EIF4G3
206621_s_at	EIF4H
208707_at	EIF5
201123_s_at	EIF5A
220198_s_at	EIF5A2
201027_s_at	EIF5B
210213_s_at	EIF6
219325_s_at	ELAC1
201767_s_at	ELAC2
206871_at	ELANE
227746_at	ELAVL1
228260_at	ELAVL2
206338_at	ELAVL3
238073_at	ELAVL4
212420_at	ELF1
203822_s_at	ELF2
201510_at	ELF3
31845_at	ELF4
220625_s_at	ELF5
229581_at	ELFN1
1559072_a_at	ELFN2
210376_x_at	ELK1
217039_x_at	ELK2AP
206127_at	ELK3
205994_at	ELK4
1565254_s_at	ELL
214446_at	ELL2
219518_s_at	ELL3
204513_s_at	ELMO1
221528_s_at	ELMO2
219411_at	ELMO3
226502_at	ELMOD2
226286_at	ELMOD3
225980_at	ELMSAN1
212670_at	ELN
225156_at	ELOF1
57163_at	ELOVL1
213712_at	ELOVL2
237365_at	ELOVL2-AS1
234513_at	ELOVL3
219532_at	ELOVL4
208788_at	ELOVL5
227491_at	ELOVL6
227180_at	ELOVL7
231713_s_at	ELP2
221094_s_at	ELP3
203829_at	ELP4
223286_at	ELP5
229863_s_at	ELP6
220366_at	ELSPBP1
219134_at	ELTD1
226789_at	EMB
212394_at	EMC1
224727_at	EMC10
203584_at	EMC2
228775_at	EMC3
237005_at	EMC3-AS1
223857_x_at	EMC4
221255_s_at	EMC6
217898_at	EMC7
227363_s_at	EMC8
219203_at	EMC9
227874_at	EMCN
209477_at	EMD
234464_s_at	EME1
1569868_s_at	EME2
209233_at	EMG1
1564251_at	EMID1
204163_at	EMILIN1
242288_s_at	EMILIN2
228307_at	EMILIN3
204796_at	EML1
204398_s_at	EML2
203443_at	EML3
1556732_at	EML4
1568777_at	EML5
229656_s_at	EML6
213895_at	EMP1
225078_at	EMP2
203729_at	EMP3
207111_at	EMR1
207610_s_at	EMR2
210724_at	EMR3
215264_at	EMX1
221950_at	EMX2
232531_at	EMX2OS
220559_at	EN1
207060_at	EN2
222433_at	ENAH
240586_at	ENAM
201341_at	ENC1
212573_at	ENDOD1
204824_at	ENDOG
206605_at	ENDOU
238402_s_at	ENDOV
201809_s_at	ENG
220349_s_at	ENGASE
228403_at	ENHO
223407_at	ENKD1
237314_at	ENKUR
201231_s_at	ENO1
237028_at	ENO1-AS1
201313_at	ENO2
237691_x_at	ENO3
217956_s_at	ENOPH1
217690_at	ENOSF1
219501_at	ENOX1
204644_at	ENOX2
204844_at	ENPEP
205066_s_at	ENPP1
209392_at	ENPP2
219912_s_at	ENPP3
204160_s_at	ENPP4
237054_at	ENPP5
229916_at	ENPP6
238245_at	ENPP7
221486_at	ENSA
1552394_a_at	ENTHD1
227668_at	ENTHD2
209474_s_at	ENTPD1
219731_at	ENTPD1-AS1
230430_at	ENTPD2
206191_at	ENTPD3
1556558_s_at	ENTPD3-AS1
204077_x_at	ENTPD4
226594_at	ENTPD5
201704_at	ENTPD6
220153_at	ENTPD7
218482_at	ENY2
221935_s_at	EOGT
231776_at	EOMES
202221_s_at	EP300
212376_s_at	EP400
229892_at	EP400NL
217050_at	EPAG
200878_at	EPAS1
207793_s_at	EPB41
212336_at	EPB41L1
201719_s_at	EPB41L2
206710_s_at	EPB41L3
228256_s_at	EPB41L4A
225698_at	EPB41L4A-AS1
220364_at	EPB41L4A-AS2
223427_s_at	EPB41L4B
225855_at	EPB41L5
210746_s_at	EPB42
238633_at	EPC1
225838_at	EPC2
201839_s_at	EPCAM
223253_at	EPDR1
1563471_at	EPG5
241482_at	EPHA1
238263_at	EPHA1-AS1
243717_at	EPHA10
203499_at	EPHA2
206070_s_at	EPHA3
228948_at	EPHA4
237939_at	EPHA5
1561396_at	EPHA6
1554629_at	EPHA7
231796_at	EPHA8
230425_at	EPHB1
209589_s_at	EPHB2
1438_at	EPHB3
202894_at	EPHB4
204718_at	EPHB6
202017_at	EPHX1
209368_at	EPHX2
220013_at	EPHX3
239579_at	EPHX4
210870_s_at	EPM2A
227847_at	EPM2AIP1
221141_x_at	EPN1
1561545_at	EPN2-AS1
220318_at	EPN3
207257_at	EPO
37986_at	EPOR
232165_at	EPPK1
200841_s_at	EPRS
217886_at	EPS15
222113_s_at	EPS15L1
202609_at	EPS8
221665_s_at	EPS8L1
218180_s_at	EPS8L2
219404_at	EPS8L3
227609_at	EPSTI1
224888_at	EPT1
214627_at	EPX
206439_at	EPYC
1554982_a_at	EQTN
212087_s_at	ERAL1
210385_s_at	ERAP1
219759_at	ERAP2
216836_s_at	ERBB2
217941_s_at	ERBB2IP
226213_at	ERBB3
233494_at	ERBB4
215606_s_at	ERC1
213938_at	ERC2
208247_at	ERC2-IT1
203720_s_at	ERCC1
235399_at	ERCC2
202176_at	ERCC3
210158_at	ERCC4
202414_at	ERCC5
207347_at	ERCC6
219650_at	ERCC6L
228211_at	ERCC6L2
1554882_at	ERCC8
205767_at	EREG
203643_at	ERF
222079_at	ERG
223847_s_at	ERGIC1
218135_at	ERGIC2
216032_s_at	ERGIC3
200043_at	ERH
226416_at	ERI1
213365_at	ERI2
208973_at	ERI3
242003_at	ERICH1
1554978_at	ERICH1-AS1
243753_at	ERICH3
231632_at	ERICH4
1552389_at	ERICH5
224628_at	ERLEC1
202441_at	ERLIN1
221543_s_at	ERLIN2
219905_at	ERMAP
227656_at	ERMARD
231911_at	ERMN
222603_at	ERMP1
235745_at	ERN1
214372_x_at	ERN2
222646_s_at	ERO1L
231944_at	ERO1LB
227450_at	ERP27
201216_at	ERP29
208959_s_at	ERP44
224657_at	ERRFI1
1562777_at	ERV3-1
222139_at	ERV3-2
215594_at	ERV9-1
1557914_s_at	ERVFH21-1
1555880_at	ERVFRD-1
1570266_x_at	ERVH-1
1557919_a_at	ERVH-3
208360_s_at	ERVH-4
1555742_at	ERVH-6
232191_at	ERVH48-1
1561942_x_at	ERVK13-1
242139_s_at	ERVK3-1
221200_at	ERVK3-2
219987_at	ERVMER34-1
1561331_at	ERVMER61-1
1553255_at	ERVV-1
1553352_x_at	ERVW-1
225369_at	ESAM
226866_at	ESCO1
241252_at	ESCO2
228162_at	ESD
218859_s_at	ESF1
208394_x_at	ESM1
38158_at	ESPL1
223549_s_at	ESPN
1557000_at	ESPNL
215551_at	ESR1
211118_x_at	ESR2
225846_at	ESRP1
219395_at	ESRP2
1487_at	ESRRA
207726_at	ESRRB
209966_x_at	ESRRG
1552445_a_at	ESX1
208858_s_at	ESYT1
1558511_s_at	ESYT2
1557793_at	ESYT3
219216_at	ETAA1
201574_at	ETF1
201931_at	ETFA
202942_at	ETFB
33494_at	ETFDH
204034_at	ETHE1
224454_at	ETNK1
219268_at	ETNK2
221008_s_at	ETNPPL
214447_at	ETS1
201328_at	ETS2
221911_at	ETV1
215510_at	ETV2
1552423_at	ETV3
1554576_a_at	ETV4
203348_s_at	ETV5
225764_at	ETV6
221680_s_at	ETV7
227828_s_at	EVA1A
221710_x_at	EVA1B
227188_at	EVA1C
219432_at	EVC
229974_at	EVC2
204774_at	EVI2A
211742_s_at	EVI2B
208297_s_at	EVI5
226411_at	EVI5L
227232_at	EVL
204503_at	EVPL
236933_at	EVPLL
231706_s_at	EVX1
210012_s_at	EWSR1
1553907_a_at	EXD1
218363_at	EXD2
241363_at	EXD3
204603_at	EXO1
222902_s_at	EXO5
222127_s_at	EXOC1
226270_at	EXOC2
212630_at	EXOC3
1554937_x_at	EXOC3L1
1552889_a_at	EXOC3L2
230677_at	EXOC3L4
224926_at	EXOC4
224253_at	EXOC5
226259_at	EXOC6
225900_at	EXOC6B
212034_s_at	EXOC7
227577_at	EXOC8
205521_at	EXOG
222609_s_at	EXOSC1
207541_s_at	EXOSC10
214507_s_at	EXOSC2
223490_s_at	EXOSC3
91684_g_at	EXOSC4
218481_at	EXOSC5
1553947_at	EXOSC6
212627_s_at	EXOSC7
215136_s_at	EXOSC8
205061_s_at	EXOSC9
214734_at	EXPH5
201995_at	EXT1
202012_s_at	EXT2
206329_at	EXTL1
209537_at	EXTL2
211051_s_at	EXTL3
1556436_at	EXTL3-AS1
214608_s_at	EYA1
209692_at	EYA2
226170_at	EYA3
1561088_at	EYA4
233996_x_at	EYS
32259_at	EZH1
203358_s_at	EZH2
217230_at	EZR
205620_at	F10
1569592_a_at	F11
1557233_at	F11-AS1
221664_s_at	F11R
205774_at	F12
203305_at	F13A1
207810_at	F13B
205754_at	F2
1569642_at	F2R
213506_at	F2RL1
230147_at	F2RL2
207221_at	F2RL3
204363_at	F3
231029_at	F5
207300_s_at	F7
205756_s_at	F8
207218_at	F9
219429_at	FA2H
204231_s_at	FAAH
230792_at	FAAH2
231693_at	FABP1
207475_at	FABP2
214285_at	FABP3
235978_at	FABP4
202345_s_at	FABP5
210445_at	FABP6
205029_s_at	FABP7
202535_at	FADD
243953_at	FADS2
204257_at	FADS3
239749_at	FAF1
212106_at	FAF2
236481_at	FAH
226767_s_at	FAHD1
222056_s_at	FAHD2A
228199_at	FAHD2CP
220643_s_at	FAIM
203619_s_at	FAIM2
221601_s_at	FAIM3
226876_at	FAM101B
212400_at	FAM102A
226568_at	FAM102B
225210_s_at	FAM103A1
229087_s_at	FAM104A
244650_at	FAM105A
209074_s_at	FAM107A
223059_s_at	FAM107B
229690_at	FAM109A
226504_at	FAM109B
226584_s_at	FAM110A
227800_at	FAM110B
226863_at	FAM110C
220430_at	FAM110D
218248_at	FAM111A
1557128_at	FAM111B
213455_at	FAM114A1
218588_s_at	FAM114A2
224030_s_at	FAM115A
221249_s_at	FAM117A
1553220_at	FAM117B
219629_at	FAM118A
230009_at	FAM118B
1555908_at	FAM120A
225395_s_at	FAM120AOS
226774_at	FAM120B
229512_at	FAM120C
235043_at	FAM122A
225362_at	FAM122B
239047_at	FAM122C
1553239_at	FAM124A
220637_at	FAM124B
231396_s_at	FAM126A
231874_at	FAM126B
201828_x_at	FAM127A
217948_at	FAM127B
217966_s_at	FAM129A
223019_at	FAM129B
230983_at	FAM129C
221904_at	FAM131A
205368_at	FAM131B
235455_at	FAM131C
243292_at	FAM132A
229622_at	FAM132B
231131_at	FAM133A
221983_at	FAM134A
218510_x_at	FAM134B
212697_at	FAM134C
223497_at	FAM135A
236786_at	FAM135B
202972_s_at	FAM13A
1558711_at	FAM13A-AS1
218518_at	FAM13B
1554547_at	FAM13C
222291_at	FAM149A
213896_x_at	FAM149B1
238018_at	FAM150B
1554668_a_at	FAM151A
211166_at	FAM153A
231570_at	FAM154A
1556158_at	FAM154B
214825_at	FAM155A
1562696_at	FAM155A-IT1
206299_at	FAM155B
237033_at	FAM159A
242687_at	FAM160A1
223637_s_at	FAM160A2
226155_at	FAM160B1
218337_at	FAM160B2
239090_at	FAM161A
242608_x_at	FAM161B
223193_x_at	FAM162A
228875_at	FAM162B
222095_s_at	FAM163A
1562778_at	FAM166A
229941_at	FAM166B
226614_s_at	FAM167A
223657_at	FAM167B
212357_at	FAM168A
229946_at	FAM168B
235048_at	FAM169A
1562319_at	FAM169B
1562906_at	FAM170A
1559828_at	FAM170B
1563254_a_at	FAM170B-AS1
212771_at	FAM171A1
235544_x_at	FAM171A2
227370_at	FAM171B
212936_at	FAM172A
219709_x_at	FAM173A
225670_at	FAM173B
226752_at	FAM174A
222085_at	FAM174B
226521_s_at	FAM175A
212837_at	FAM175B
227029_at	FAM177A1
235590_at	FAM178A
223812_at	FAM178B
236717_at	FAM179A
213304_at	FAM179B
231117_at	FAM181A
1557211_a_at	FAM181A-AS1
231430_at	FAM181B
1569887_a_at	FAM183CP
1558523_at	FAM184A
233823_at	FAM184B
236182_at	FAM185A
216595_at	FAM186A
224039_at	FAM186B
242259_at	FAM187B
218297_at	FAM188A
213997_at	FAM189A1
213900_at	FAM189A2
203550_s_at	FAM189B
222460_s_at	FAM192A
203600_s_at	FAM193A
243047_at	FAM193B
240729_at	FAM194A
225861_at	FAM195A
225329_at	FAM195B
244435_at	FAM196A
232124_at	FAM198A
223204_at	FAM198B
242781_at	FAM199X
230923_at	FAM19A1
241399_at	FAM19A2
242348_at	FAM19A4
229459_at	FAM19A5
1566865_at	FAM200A
227466_at	FAM200B
1557541_at	FAM201A
219071_x_at	FAM203A
222617_s_at	FAM204A
243270_at	FAM205A
216084_at	FAM205B
218998_at	FAM206A
243750_x_at	FAM207A
209284_s_at	FAM208A
218331_s_at	FAM208B
233086_at	FAM209A
232513_x_at	FAM209B
242945_at	FAM20A
202916_s_at	FAM20B
226722_at	FAM20C
230739_at	FAM210A
224693_at	FAM210B
229507_at	FAM212A
220476_s_at	FAM212B
236036_at	FAM212B-AS1
224435_at	FAM213A
231835_at	FAM213B
225327_at	FAM214A
207765_s_at	FAM214B
221129_at	FAM215A
204521_at	FAM216A
1556711_at	FAM216B
1560838_at	FAM217A
225313_at	FAM217B
1553711_a_at	FAM218A
225146_at	FAM219A
224804_s_at	FAM219B
211068_x_at	FAM21C
224452_s_at	FAM220A
228600_x_at	FAM221A
240871_at	FAM221B
226487_at	FAM222A
1553811_at	FAM222A-AS1
218464_s_at	FAM222B
244164_at	FAM223B
216786_at	FAM224A
1553799_at	FAM227B
231386_at	FAM228A
230435_at	FAM228B
228451_at	FAM229A
225812_at	FAM229B
237047_at	FAM230C
243143_at	FAM24A
231146_at	FAM24B
1553388_at	FAM26D
232217_at	FAM26E
229390_at	FAM26F
201863_at	FAM32A
220547_s_at	FAM35A
209405_s_at	FAM3A
227194_at	FAM3B
201889_at	FAM3C
227676_at	FAM3D
227410_at	FAM43A
1569256_a_at	FAM43B
225351_at	FAM45A
229737_at	FAM46A
229518_at	FAM46B
226811_at	FAM46C
1552461_at	FAM46D
243700_x_at	FAM47A
240426_at	FAM47B
239732_x_at	FAM47C
1570398_at	FAM47E
208092_s_at	FAM49A
228987_at	FAM49B
203262_s_at	FAM50A
205775_at	FAM50B
1569139_s_at	FAM53A
237297_at	FAM53B
218023_s_at	FAM53C
218898_at	FAM57A
226466_s_at	FAM58A
223038_s_at	FAM60A
221856_s_at	FAM63A
37802_r_at	FAM63B
221591_s_at	FAM64A
218029_at	FAM65A
209829_at	FAM65B
227654_at	FAM65C
1570396_at	FAM66C
222194_at	FAM66D
213689_x_at	FAM69A
229002_at	FAM69B
229645_at	FAM69C
1552384_a_at	FAM71A
1555586_at	FAM71B
1552526_at	FAM71C
1552839_at	FAM71D
229289_at	FAM71E1
1552990_at	FAM71E2
231466_at	FAM71F1
237320_at	FAM71F2
235125_x_at	FAM73A
226356_at	FAM73B
216897_s_at	FAM76A
1553749_at	FAM76B
227002_at	FAM78A
241456_at	FAM78B
241503_at	FAM81A
240065_at	FAM81B
242944_at	FAM83A
1563900_at	FAM83B
1563805_a_at	FAM83C
233962_at	FAM83C-AS1
225687_at	FAM83D
220312_at	FAM83E
235269_at	FAM83F
228587_at	FAM83G
241406_at	FAM83H
231439_at	FAM84A
225864_at	FAM84B
222013_x_at	FAM86A
234049_at	FAM86B3P
220353_at	FAM86C1
32209_at	FAM89B
203420_at	FAM8A1
220535_at	FAM90A1
226294_x_at	FAM91A1
235391_at	FAM92A1
234016_at	FAM95A
239590_x_at	FAM95B1
224779_s_at	FAM96A
218074_at	FAM96B
212333_at	FAM98A
1564637_a_at	FAM98B
227951_s_at	FAM98C
240441_at	FAM99B
1555133_at	FAM9A
1555538_s_at	FAM9B
244644_at	FAM9C
203678_at	FAN1
215530_at	FANCA
1557217_a_at	FANCB
205189_s_at	FANCC
223545_at	FANCD2
231531_at	FANCD2OS
220255_at	FANCE
218689_at	FANCF
203564_at	FANCG
223785_at	FANCI
218397_at	FANCL
242711_x_at	FANCM
232968_at	FANK1
209955_s_at	FAP
224865_at	FAR1
220615_s_at	FAR2
226809_at	FAR2P2
239246_at	FARP1
1554337_at	FARP2
204283_at	FARS2
216602_s_at	FARSA
232063_x_at	FARSB
204781_s_at	FAS
211333_s_at	FASLG
217006_x_at	FASN
214114_x_at	FASTK
219002_at	FASTKD1
216996_s_at	FASTKD2
219200_at	FASTKD3
219016_at	FASTKD5
201579_at	FAT1
208153_s_at	FAT2
1560490_at	FAT3
219427_at	FAT4
231573_at	FATE1
200019_s_at	FAU
232067_at	FAXC
220751_s_at	FAXDC2
1555288_s_at	FBF1
211623_s_at	FBL
1554795_a_at	FBLIM1
244071_at	FBLL1
201787_at	FBLN1
203886_s_at	FBLN2
203088_at	FBLN5
229247_at	FBLN7
235318_at	FBN1
203184_at	FBN2
240117_at	FBN3
209696_at	FBP1
206844_at	FBP2
242217_s_at	FBRS
225703_at	FBRSL1
220127_s_at	FBXL12
1553798_a_at	FBXL13
1553683_s_at	FBXL14
218938_at	FBXL15
227641_at	FBXL16
227203_at	FBXL17
215068_s_at	FBXL18
228277_at	FBXL19
1553586_at	FBXL19-AS1
214436_at	FBXL2
226842_at	FBXL20
1555413_s_at	FBXL21
241350_at	FBXL22
225132_at	FBXL3
209943_at	FBXL4
209005_at	FBXL5
219189_at	FBXL6
213249_at	FBXL7
220080_at	FBXL8
237036_at	FBXO10
219208_at	FBXO11
231472_at	FBXO15
228427_at	FBXO16
220233_at	FBXO17
224683_at	FBXO18
228036_s_at	FBXO2
214891_at	FBXO21
225736_at	FBXO22
223941_at	FBXO24
225591_at	FBXO25
235169_at	FBXO27
202272_s_at	FBXO28
232851_at	FBXO3
226541_at	FBXO30
224162_s_at	FBXO31
225801_at	FBXO32
227521_at	FBXO33
218539_at	FBXO34
236525_at	FBXO36
219608_s_at	FBXO38
1552830_at	FBXO39
220550_at	FBXO4
220164_s_at	FBXO40
44040_at	FBXO41
47773_at	FBXO42
236852_at	FBXO43
223517_at	FBXO44
242294_at	FBXO45
205310_at	FBXO46
234863_x_at	FBXO5
231769_at	FBXO6
201178_at	FBXO7
223240_at	FBXO8
210638_s_at	FBXO9
209456_s_at	FBXW11
1564138_at	FBXW12
218941_at	FBXW2
221519_at	FBXW4
214623_at	FBXW4P1
223050_s_at	FBXW5
222729_at	FBXW7
231883_at	FBXW8
223419_at	FBXW9
231496_at	FCAMR
211307_s_at	FCAR
211734_s_at	FCER1A
204232_at	FCER1G
206759_at	FCER2
240928_at	FCF1
203240_at	FCGBP
216951_at	FCGR1A
214511_x_at	FCGR1B
1565673_at	FCGR2A
210889_s_at	FCGR2B
211396_at	FCGR2C
204007_at	FCGR3B
218831_s_at	FCGRT
213669_at	FCHO1
228220_at	FCHO2
226699_at	FCHSD1
203620_s_at	FCHSD2
205237_at	FCN1
1559577_at	FCN2
205866_at	FCN3
243968_x_at	FCRL1
224193_s_at	FCRL2
231093_at	FCRL3
224401_s_at	FCRL4
1555799_at	FCRL5
235372_at	FCRLA
238452_at	FCRLB
229152_at	FDCSP
208647_at	FDFT1
201275_at	FDPS
231366_at	FDPSP2
203647_s_at	FDX1
226451_at	FDX1L
229989_at	FDXACB1
207813_s_at	FDXR
203116_s_at	FECH
228435_at	FEM1A
212374_at	FEM1B
213341_at	FEM1C
204768_s_at	FEN1
243059_at	FENDRR
206412_at	FER
220388_at	FER1L4
233353_at	FER1L5
1553443_at	FER1L6-AS1
1553517_at	FERD3L
218796_at	FERMT1
214212_x_at	FERMT2
223303_at	FERMT3
205418_at	FES
214417_s_at	FETUB
207260_at	FEV
203562_at	FEZ1
215000_s_at	FEZ2
233972_s_at	FEZF2
231761_at	FFAR1
221345_at	FFAR2
240856_at	FFAR4
231671_at	FGA
216238_s_at	FGB
204819_at	FGD1
1553906_s_at	FGD2
227811_at	FGD3
227948_at	FGD4
226985_at	FGD5
224644_at	FGD5-AS1
1555136_at	FGD6
205117_at	FGF1
231762_at	FGF10
1562691_at	FGF10-AS1
227271_at	FGF11
214589_at	FGF12
205110_s_at	FGF13
1560537_at	FGF13-AS1
230231_at	FGF14
230351_at	FGF14-AS2
237392_at	FGF14-IT1
221374_at	FGF16
221376_at	FGF17
211029_x_at	FGF18
223761_at	FGF19
204421_s_at	FGF2
220394_at	FGF20
221433_at	FGF21
1566816_at	FGF22
221166_at	FGF23
214571_at	FGF3
1552982_a_at	FGF4
210310_s_at	FGF5
208417_at	FGF6
1555103_s_at	FGF7
208449_s_at	FGF8
206404_at	FGF9
205014_at	FGFBP1
223836_at	FGFBP2
238453_at	FGFBP3
210973_s_at	FGFR1
1568678_s_at	FGFR1OP
1556283_s_at	FGFR1OP2
208228_s_at	FGFR2
204379_s_at	FGFR3
204579_at	FGFR4
223321_s_at	FGFRL1
219612_s_at	FGG
219718_at	FGGY
205305_at	FGL1
204834_at	FGL2
208438_s_at	FGR
214170_x_at	FH
1564635_a_at	FHAD1
226599_at	FHDC1
206492_at	FHIT
201540_at	FHL1
202949_s_at	FHL2
218818_at	FHL3
1555191_a_at	FHL5
218530_at	FHOD1
218980_at	FHOD3
240042_at	FIBCD1
231001_at	FIBIN
202041_s_at	FIBP
219910_at	FICD
203656_at	FIG4
1570337_at	FIGLA
242828_at	FIGN
222843_at	FIGNL1
1556325_at	FILIP1
204135_at	FILIP1L
221007_s_at	FIP1L1
1558791_at	FIRRE
218034_at	FIS1
229567_at	FITM1
233061_at	FITM2
228663_x_at	FIZ1
219522_at	FJX1
219249_s_at	FKBP10
219117_s_at	FKBP11
219390_at	FKBP14
31826_at	FKBP15
210187_at	FKBP1A
206857_s_at	FKBP1B
203391_at	FKBP2
218003_s_at	FKBP3
1560305_x_at	FKBP4
224840_at	FKBP5
206763_at	FKBP6
231130_at	FKBP7
222007_s_at	FKBP8
212169_at	FKBP9
219187_at	FKBPL
227882_at	FKRP
223896_at	FKSG29
224284_x_at	FKSG49
205283_at	FKTN
205661_s_at	FLAD1
1552664_at	FLCN
215704_at	FLG
241014_at	FLG-AS1
1569410_at	FLG2
210786_s_at	FLI1
212025_s_at	FLII
205510_s_at	FLJ10038
215187_at	FLJ11292
220529_at	FLJ11710
233210_at	FLJ12120
1557296_at	FLJ12825
219871_at	FLJ13197
220211_at	FLJ13224
1553413_at	FLJ13744
1559011_at	FLJ13773
1569900_at	FLJ16124
243077_at	FLJ16734
239509_at	FLJ16779
228832_at	FLJ20021
1557584_at	FLJ20444
224073_at	FLJ20464
234830_at	FLJ20518
220678_at	FLJ20712
220401_at	FLJ21369
234216_at	FLJ21408
220584_at	FLJ22184
233604_at	FLJ22763
1553614_a_at	FLJ25694
1554286_at	FLJ25758
1564295_at	FLJ25917
237298_at	FLJ26850
239821_at	FLJ30064
1553258_at	FLJ30679
1552388_at	FLJ30901
1557466_at	FLJ31104
241774_at	FLJ31306
1560932_at	FLJ31356
1553429_at	FLJ31713
1553775_at	FLJ31715
239051_at	FLJ31813
1556578_a_at	FLJ31945
1553354_a_at	FLJ31958
235933_at	FLJ32154
235291_s_at	FLJ32255
1561099_at	FLJ32756
1564327_at	FLJ32790
1553472_at	FLJ32955
1563969_at	FLJ33360
1564233_at	FLJ33534
1564157_at	FLJ33544
1553448_at	FLJ34503
1562217_at	FLJ34521
1559277_at	FLJ35700
1564152_at	FLJ35816
1564383_s_at	FLJ35934
231527_at	FLJ36840
239483_at	FLJ37035
1560654_at	FLJ37201
227593_at	FLJ37453
1558579_at	FLJ37786
1556473_at	FLJ38379
1559441_s_at	FLJ38576
224141_at	FLJ38668
229914_at	FLJ38717
1559614_at	FLJ38773
1561371_at	FLJ39080
231882_at	FLJ39632
237659_at	FLJ40288
1560162_at	FLJ40606
232955_at	FLJ41170
244395_at	FLJ41455
230452_at	FLJ42351
221944_at	FLJ42627
244551_at	FLJ43489
226419_s_at	FLJ44342
236046_at	FLJ44896
1565786_x_at	FLJ45482
239400_at	FLJ45513
242095_at	FLJ45825
1565905_at	FLJ46026
230203_at	FLJ46875
244237_at	FLJ90680
214752_x_at	FLNA
208614_s_at	FLNB
207876_s_at	FLNC
213819_s_at	FLOT1
201350_at	FLOT2
210414_at	FLRT1
222853_at	FLRT3
204406_at	FLT1
206674_at	FLT3
210607_at	FLT3LG
210316_at	FLT4
222906_at	FLVCR1
235126_at	FLVCR1-AS1
219316_s_at	FLVCR2
234106_s_at	FLYWCH1
226079_at	FLYWCH2
1563559_at	FMN1
1559244_at	FMN2
1569257_at	FMNL1
242665_at	FMNL2
238823_at	FMNL3
205666_at	FMO1
228268_at	FMO2
40665_at	FMO3
206263_at	FMO4
205776_at	FMO5
215174_at	FMO6P
1553924_at	FMO9P
202709_at	FMOD
203689_s_at	FMR1
1552906_at	FMR1NB
1558199_at	FN1
219744_at	FN3K
218210_at	FN3KRP
213940_s_at	FNBP1
215017_s_at	FNBP1L
242472_x_at	FNBP4
226930_at	FNDC1
241611_s_at	FNDC3A
1569490_at	FNDC3B
218843_at	FNDC4
226097_at	FNDC5
240837_at	FNDC7
220499_at	FNDC8
1554801_at	FNDC9
243861_at	FNIP1
225924_at	FNIP2
200090_at	FNTA
1568865_at	FNTB
218503_at	FOCAD
217483_at	FOLH1
211303_x_at	FOLH1B
204437_s_at	FOLR1
229619_at	FOLR2
206371_at	FOLR3
225088_at	FOPNL
209189_at	FOS
202768_at	FOSB
204420_at	FOSL1
218880_at	FOSL2
237086_at	FOXA1
40284_at	FOXA2
228463_at	FOXA3
208513_at	FOXB1
1553613_s_at	FOXC1
239058_at	FOXC2
206307_s_at	FOXD1
207653_at	FOXD2
224457_at	FOXD2-AS1
241609_at	FOXD3
1567341_at	FOXD4
206912_at	FOXE1
220621_at	FOXE3
205935_at	FOXF1
206377_at	FOXF2
206018_at	FOXG1
207644_at	FOXH1
208006_at	FOXI1
205906_at	FOXJ1
203734_at	FOXJ2
217310_s_at	FOXJ3
230342_at	FOXK1
226224_at	FOXK2
243409_at	FOXL1
220102_at	FOXL2
202580_x_at	FOXM1
1558687_a_at	FOXN1
226711_at	FOXN2
222494_at	FOXN3
227887_at	FOXN3-AS1
220852_at	FOXN3-AS2
241009_at	FOXN4
202723_s_at	FOXO1
224889_at	FOXO3
205451_at	FOXO4
239657_x_at	FOXO6
1558996_at	FOXP1
232096_x_at	FOXP1-IT1
1562139_a_at	FOXP2
221333_at	FOXP3
229763_at	FOXP4
227475_at	FOXQ1
237613_at	FOXR1
1569669_at	FOXR2
223128_at	FOXRED1
