probe	gene
207275_s_at	ACSL1
201661_s_at	ACSL3
1557418_at	ACSL4
218322_s_at	ACSL5
223918_at	ACSL6
215432_at	ACSM1
244723_at	ACSM2A
241915_at	ACSM2B
205942_s_at	ACSM3
89977_at	ACSM5
224882_at	ACSS1
234312_s_at	ACSS2
229222_at	ACSS3
203872_at	ACTA1
200974_at	ACTA2
1564257_at	ACTA2-AS1
213867_x_at	ACTB
205132_at	ACTC1
211995_x_at	ACTG1
241148_at	ACTG2
232619_at	ACTL10
202666_s_at	ACTL6A
206013_s_at	ACTL6B
220501_at	ACTL7A
220498_at	ACTL7B
214957_at	ACTL8
243208_x_at	ACTL9
208636_at	ACTN1
203864_s_at	ACTN2
206891_at	ACTN3
200601_at	ACTN4
222230_s_at	ACTR10
200721_s_at	ACTR1A
202135_s_at	ACTR1B
1554390_s_at	ACTR2
213101_s_at	ACTR3
1555487_a_at	ACTR3B
224425_x_at	ACTR3BP2
224424_x_at	ACTR3BP6
223874_at	ACTR3C
222147_s_at	ACTR5
241794_at	ACTR6
222707_s_at	ACTR8
237360_at	ACTRT2
223665_at	ACTRT3
203935_at	ACVR1
213198_at	ACVR1B
1563182_at	ACVR1C
205327_s_at	ACVR2A
236126_at	ACVR2B
215590_x_at	ACVR2B-AS1
226950_at	ACVRL1
238849_at	ACY1
1554974_at	ACY3
205260_s_at	ACYP1
206833_s_at	ACYP2
222280_at	AD000090.2
204639_at	ADA
231448_at	ADAD1
236463_at	ADAD2
239711_at	ADAL
202603_at	ADAM10
239837_at	ADAM11
215613_at	ADAM12
217007_s_at	ADAM15
213532_at	ADAM17
207597_at	ADAM18
209765_at	ADAM19
228925_at	ADAM1A
207664_at	ADAM2
207423_s_at	ADAM20
207665_at	ADAM21
213411_at	ADAM22
213808_at	ADAM23
205997_at	ADAM28
221337_s_at	ADAM29
243520_x_at	ADAM30
1552266_at	ADAM32
232570_s_at	ADAM33
216276_s_at	ADAM3A
216998_s_at	ADAM5
237909_at	ADAM6
211238_at	ADAM7
205179_s_at	ADAM8
1570042_a_at	ADAM9
206134_at	ADAMDEC1
222486_s_at	ADAMTS1
232133_at	ADAMTS10
226997_at	ADAMTS12
223844_at	ADAMTS13
230167_at	ADAMTS14
229004_at	ADAMTS15
238125_at	ADAMTS16
1552726_at	ADAMTS17
1553234_at	ADAMTS18
1553179_at	ADAMTS19
226311_at	ADAMTS2
1553409_at	ADAMTS20
214913_at	ADAMTS3
1555380_at	ADAMTS4
219935_at	ADAMTS5
1570351_at	ADAMTS6
228911_at	ADAMTS7
235649_at	ADAMTS8
226814_at	ADAMTS9
1556364_at	ADAMTS9-AS2
1552808_at	ADAMTSL1
206629_at	ADAMTSL2
213974_at	ADAMTSL3
226071_at	ADAMTSL4
242200_at	ADAMTSL5
219150_s_at	ADAP1
222876_s_at	ADAP2
201786_s_at	ADAR
203865_s_at	ADARB1
237437_s_at	ADARB2
1561127_at	ADARB2-AS1
219384_s_at	ADAT1
227213_at	ADAT2
1554393_a_at	ADC
227482_at	ADCK1
44120_at	ADCK2
218168_s_at	ADCK3
220434_at	ADCK4
228524_at	ADCK5
213245_at	ADCY1
217305_s_at	ADCY10
233959_at	ADCY10P1
213217_at	ADCY2
209321_s_at	ADCY3
230800_at	ADCY4
228182_at	ADCY5
209195_s_at	ADCY6
203741_s_at	ADCY7
206811_at	ADCY8
204497_at	ADCY9
206281_at	ADCYAP1
207151_at	ADCYAP1R1
208030_s_at	ADD1
239530_at	ADD2
205882_x_at	ADD3
217380_s_at	ADD3-AS1
220614_s_at	ADGB
207820_at	ADH1A
209612_s_at	ADH1B
206262_at	ADH1C
231703_s_at	ADH4
208847_s_at	ADH5
214261_s_at	ADH6
210505_at	ADH7
227113_at	ADHFE1
222400_s_at	ADI1
1554128_at	ADIG
207175_at	ADIPOQ
217748_at	ADIPOR1
201346_at	ADIPOR2
203571_s_at	ADIRF
232300_at	ADIRF-AS1
204120_s_at	ADK
202912_at	ADM
220538_at	ADM2
232154_at	ADM5
226426_at	ADNP
203322_at	ADNP2
212502_at	ADO
205481_at	ADORA1
239513_at	ADORA2A-AS1
205891_at	ADORA2B
206171_at	ADORA3
220980_s_at	ADPGK
207863_at	ADPRH
238054_at	ADPRHL1
223097_at	ADPRHL2
223401_at	ADPRM
211492_s_at	ADRA1A
207589_at	ADRA1B
210961_s_at	ADRA1D
209869_at	ADRA2A
208544_at	ADRA2B
206128_at	ADRA2C
229309_at	ADRB1
206170_at	ADRB2
206812_at	ADRB3
201401_s_at	ADRBK1
228771_at	ADRBK2
201281_at	ADRM1
210250_x_at	ADSL
227310_at	ADSS
226325_at	ADSSL1
215100_at	ADTRP
201792_at	AEBP1
235184_at	AEBP2
219361_s_at	AEN
217729_s_at	AES
1561481_at	AF064858.7
203563_at	AFAP1
223779_at	AFAP1-AS1
226955_at	AFAP1L1
226829_at	AFAP1L2
201924_at	AFF1
206105_at	AFF2
205734_s_at	AFF3
239439_at	AFF4
1552287_s_at	AFG3L1P
1557820_at	AFG3L2
206840_at	AFM
240318_at	AFMID
204694_at	AFP
217939_s_at	AFTPH
204332_s_at	AGA
204066_s_at	AGAP1
1557382_x_at	AGAP11
206152_at	AGAP2
1555907_at	AGAP2-AS1
231299_at	AGAP3
1565620_at	AGAP4
240230_s_at	AGAP9
1553447_at	AGBL1
220390_at	AGBL2
220649_at	AGBL3
1569570_at	AGBL4
231857_s_at	AGBL5
210081_at	AGER
218092_s_at	AGFG1
222362_at	AGFG2
210710_at	AGGF1
222132_s_at	AGK
203566_s_at	AGL
219792_at	AGMAT
218287_s_at	AGO1
213310_at	AGO2
219426_at	AGO3
219190_s_at	AGO4
215535_s_at	AGPAT1
32837_at	AGPAT2
223183_at	AGPAT3
219693_at	AGPAT4
223740_at	AGPAT4-IT1
218096_at	AGPAT5
224776_at	AGPAT6
224480_s_at	AGPAT9
205401_at	AGPS
209173_at	AGR2
228241_at	AGR3
212285_s_at	AGRN
207193_at	AGRP
202834_at	AGT
204499_at	AGTPBP1
205357_s_at	AGTR1
207294_at	AGTR2
1555736_a_at	AGTRAP
206957_at	AGXT
229229_at	AGXT2
226115_at	AHCTF1
200903_s_at	AHCY
200850_s_at	AHCYL1
212814_at	AHCYL2
205002_at	AHDC1
220842_at	AHI1
211986_at	AHNAK
212992_at	AHNAK2
202820_at	AHR
229354_at	AHRR
201491_at	AHSA1
226334_s_at	AHSA2
204551_s_at	AHSG
219672_at	AHSP
219841_at	AICDA
226801_s_at	AIDA
213095_x_at	AIF1
223075_s_at	AIF1L
205512_s_at	AIFM1
224461_s_at	AIFM2
244084_at	AIFM3
230520_at	AIG1
212543_at	AIM1
220289_s_at	AIM1L
206513_at	AIM2
202542_s_at	AIMP1
209971_x_at	AIMP2
201782_s_at	AIP
235731_at	AIPL1
208090_s_at	AIRE
206460_at	AJAP1
225807_at	AJUBA
202588_at	AK1
205996_s_at	AK2
224655_at	AK3
222862_s_at	AK5
1569699_at	AK7
1557666_s_at	AK8
1552299_at	AK9
210625_s_at	AKAP1
213396_s_at	AKAP10
215336_at	AKAP11
210517_s_at	AKAP12
221718_s_at	AKAP13
237281_at	AKAP14
203624_at	AKAP17A
207344_at	AKAP3
207019_s_at	AKAP4
230846_at	AKAP5
217669_s_at	AKAP6
205771_s_at	AKAP7
203847_s_at	AKAP8
227691_at	AKAP8L
207870_at	AKAP9
242515_x_at	AKIP1
222458_s_at	AKIRIN1
223143_s_at	AKIRIN2
225701_at	AKNA
1563834_a_at	AKNAD1
201900_s_at	AKR1A1
201272_at	AKR1B1
206561_s_at	AKR1B10
204151_x_at	AKR1C1
211653_x_at	AKR1C2
209160_at	AKR1C3
210558_at	AKR1C4
224070_at	AKR1C6P
207102_at	AKR1D1
223856_at	AKR1E2
202139_at	AKR7A2
206469_x_at	AKR7A3
207163_s_at	AKT1
